defect_id,asset_id,department,severity,detected_date,description,failure_probability,safety_impact,operational_impact,status
DEF-023,AST-089,Engineering,Cosmetic,2026-08-05,Cosmetic defect on AST-089,0.07533819189867659,Low,Medium,Resolved
DEF-024,AST-079,S&T,Minor,2026-08-08,Minor defect on AST-079,0.20844744109836966,Low,Medium,Under_Investigation
DEF-025,AST-118,Operations,Minor,2026-08-17,Minor defect on AST-118,0.22725827079584962,Low,Medium,Open
DEF-026,AST-058,Engineering,Critical,2026-08-22,Critical defect on AST-058,0.6740036593564869,High,High,Under_Investigation
DEF-027,AST-089,Engineering,Minor,2026-08-19,Minor defect on AST-089,0.13760494692308323,Low,Medium,Under_Investigation
DEF-028,AST-036,Traction,Critical,2026-08-30,Critical defect on AST-036,0.8282972280084282,High,High,Repair_Scheduled
DEF-029,AST-020,Engineering,Major,2026-08-28,Major defect on AST-020,0.39168126464706443,High,Medium,Open
DEF-030,AST-004,Engineering,Minor,2026-08-24,Minor defect on AST-004,0.17830513963556588,Low,Medium,Open
DEF-031,AST-074,Engineering,Minor,2026-08-28,Minor defect on AST-074,0.11859812796462643,Low,Medium,Under_Investigation
DEF-032,AST-003,Traction,Critical,2026-08-30,Critical defect on AST-003,0.7739951362284394,High,High,Under_Investigation
DEF-033,AST-019,Engineering,Major,2026-08-19,Major defect on AST-019,0.4494767046790361,High,Medium,Repair_Scheduled
DEF-034,AST-058,Engineering,Minor,2026-08-09,Minor defect on AST-058,0.18803979959109812,Low,Medium,Repair_Scheduled
DEF-035,AST-097,Engineering,Critical,2026-08-04,Critical defect on AST-097,0.6661835858133633,High,High,Open
DEF-036,AST-033,Traction,Major,2026-08-18,Major defect on AST-033,0.5356954854240696,High,Medium,Repair_Scheduled
DEF-037,AST-103,Engineering,Minor,2026-08-19,Minor defect on AST-103,0.1724470883304577,Low,Medium,Repair_Scheduled
DEF-038,AST-094,S&T,Minor,2026-08-22,Minor defect on AST-094,0.1597451147177546,Low,Medium,Repair_Scheduled
DEF-039,AST-026,Engineering,Cosmetic,2026-08-27,Cosmetic defect on AST-026,0.051236819806410344,Low,Medium,Repair_Scheduled
DEF-040,AST-090,Engineering,Critical,2026-08-26,Critical defect on AST-090,0.8183817920921296,High,High,Open
DEF-041,AST-046,S&T,Minor,2026-08-08,Minor defect on AST-046,0.2313910312534279,Low,Medium,Open
DEF-042,AST-030,Engineering,Critical,2026-08-16,Critical defect on AST-030,0.6827159559286656,High,High,Repair_Scheduled
DEF-043,AST-106,Traction,Minor,2026-08-14,Minor defect on AST-106,0.2706179246807301,Low,Medium,Resolved
DEF-044,AST-057,Engineering,Major,2026-08-08,Major defect on AST-057,0.5315573178544863,High,Medium,Under_Investigation
DEF-045,AST-088,Engineering,Minor,2026-08-07,Minor defect on AST-088,0.18375866381483227,Low,Medium,Open
DEF-046,AST-021,Engineering,Major,2026-08-07,Major defect on AST-021,0.359429289827922,High,Medium,Resolved
DEF-047,AST-012,S&T,Major,2026-08-25,Major defect on AST-012,0.3453740486204804,High,Medium,Under_Investigation
DEF-048,AST-033,Traction,Minor,2026-08-10,Minor defect on AST-033,0.24456286064169674,Low,Medium,Under_Investigation
DEF-049,AST-098,Engineering,Critical,2026-08-16,Critical defect on AST-098,0.7374901924585969,High,High,Open
DEF-050,AST-074,Engineering,Minor,2026-08-24,Minor defect on AST-074,0.20908637388138107,Low,Medium,Open
DEF-051,AST-059,Engineering,Minor,2026-08-12,Minor defect on AST-059,0.1402727564271949,Low,Medium,Under_Investigation
DEF-052,AST-068,Engineering,Minor,2026-08-04,Minor defect on AST-068,0.27556601563040817,Low,Medium,Open
DEF-053,AST-105,S&T,Minor,2026-08-29,Minor defect on AST-105,0.21050272295654504,Low,Medium,Resolved
DEF-054,AST-097,Engineering,Major,2026-08-21,Major defect on AST-097,0.4115798003750594,High,Medium,Repair_Scheduled
DEF-055,AST-051,S&T,Major,2026-08-27,Major defect on AST-051,0.3282108313302799,High,Medium,Under_Investigation
DEF-056,AST-055,S&T,Minor,2026-08-26,Minor defect on AST-055,0.2040381046503109,Low,Medium,Repair_Scheduled
DEF-057,AST-007,S&T,Minor,2026-08-04,Minor defect on AST-007,0.13377084133553724,Low,Medium,Open
DEF-058,AST-008,Engineering,Cosmetic,2026-08-10,Cosmetic defect on AST-008,0.06537682225628219,Low,Medium,Repair_Scheduled
DEF-059,AST-009,Engineering,Minor,2026-08-11,Minor defect on AST-009,0.18355219585501992,Low,Medium,Repair_Scheduled
DEF-060,AST-034,S&T,Major,2026-08-07,Major defect on AST-034,0.42824690637618457,High,Medium,Open
DEF-061,AST-068,Engineering,Minor,2026-08-03,Minor defect on AST-068,0.24629929806807246,Low,Medium,Open
DEF-062,AST-102,Traction,Minor,2026-08-20,Minor defect on AST-102,0.19423357978656292,Low,Medium,Open
DEF-063,AST-088,Engineering,Minor,2026-08-08,Minor defect on AST-088,0.13475231862714876,Low,Medium,Open
DEF-064,AST-033,Traction,Major,2026-08-07,Major defect on AST-033,0.40438242347465,High,Medium,Open
DEF-065,AST-022,Engineering,Minor,2026-08-03,Minor defect on AST-022,0.15079497491440494,Low,Medium,Under_Investigation
DEF-066,AST-066,S&T,Major,2026-08-31,Major defect on AST-066,0.504500844720486,High,Medium,Repair_Scheduled
DEF-067,AST-087,Engineering,Critical,2026-08-11,Critical defect on AST-087,0.7021140278000024,High,High,Open
DEF-068,AST-117,Engineering,Major,2026-08-04,Major defect on AST-117,0.5710823533040386,High,Medium,Under_Investigation
DEF-069,AST-082,S&T,Minor,2026-08-18,Minor defect on AST-082,0.1338162140711985,Low,Medium,Open
DEF-070,AST-100,Engineering,Major,2026-08-15,Major defect on AST-100,0.4238283387798078,High,Medium,Open
DEF-071,AST-088,Engineering,Critical,2026-08-29,Critical defect on AST-088,0.8898730232120395,High,High,Repair_Scheduled
DEF-072,AST-073,Engineering,Minor,2026-08-07,Minor defect on AST-073,0.21183696136586527,Low,Medium,Open
DEF-073,AST-047,Engineering,Major,2026-08-23,Major defect on AST-047,0.3360741679535027,High,Medium,Open
DEF-074,AST-120,S&T,Major,2026-08-23,Major defect on AST-120,0.3222722618965159,High,Medium,Open
DEF-075,AST-068,Engineering,Cosmetic,2026-08-09,Cosmetic defect on AST-068,0.09901255225151566,Low,Medium,Under_Investigation
DEF-076,AST-062,Operations,Minor,2026-08-11,Minor defect on AST-062,0.29908750323826194,Low,Medium,Open
DEF-077,AST-020,Engineering,Major,2026-08-29,Major defect on AST-020,0.521269724727848,High,Medium,Repair_Scheduled
DEF-078,AST-088,Engineering,Cosmetic,2026-08-18,Cosmetic defect on AST-088,0.09196089214916256,Low,Medium,Repair_Scheduled
DEF-079,AST-105,S&T,Major,2026-08-07,Major defect on AST-105,0.351174573467127,High,Medium,Repair_Scheduled
DEF-080,AST-004,Engineering,Minor,2026-08-20,Minor defect on AST-004,0.25735006703088736,Low,Medium,Resolved
DEF-081,AST-034,S&T,Minor,2026-08-14,Minor defect on AST-034,0.18139438192685278,Low,Medium,Open
DEF-082,AST-012,S&T,Minor,2026-08-19,Minor defect on AST-012,0.1939283549361418,Low,Medium,Open
DEF-083,AST-040,S&T,Minor,2026-08-15,Minor defect on AST-040,0.2181734882542083,Low,Medium,Open
DEF-084,AST-062,Operations,Minor,2026-08-22,Minor defect on AST-062,0.19257039100317014,Low,Medium,Open
DEF-085,AST-105,S&T,Major,2026-08-25,Major defect on AST-105,0.4851199548353404,High,Medium,Under_Investigation
DEF-086,AST-039,S&T,Minor,2026-08-31,Minor defect on AST-039,0.12629782397959632,Low,Medium,Open
DEF-087,AST-019,Engineering,Major,2026-08-19,Major defect on AST-019,0.5142097933400569,High,Medium,Repair_Scheduled
DEF-088,AST-092,S&T,Minor,2026-08-09,Minor defect on AST-092,0.11022707628842016,Low,Medium,Open
DEF-089,AST-084,Engineering,Minor,2026-08-13,Minor defect on AST-084,0.19124730179110838,Low,Medium,Under_Investigation
DEF-090,AST-040,S&T,Minor,2026-08-03,Minor defect on AST-040,0.17095425836719685,Low,Medium,Under_Investigation
DEF-091,AST-066,S&T,Cosmetic,2026-08-25,Cosmetic defect on AST-066,0.020416384601083484,Low,Medium,Repair_Scheduled
DEF-092,AST-084,Engineering,Minor,2026-08-30,Minor defect on AST-084,0.2658035465090982,Low,Medium,Open
DEF-093,AST-012,S&T,Major,2026-08-15,Major defect on AST-012,0.47315996602036525,High,Medium,Open
DEF-094,AST-025,S&T,Minor,2026-08-29,Minor defect on AST-025,0.23849856533384506,Low,Medium,Open
DEF-095,AST-073,Engineering,Major,2026-08-04,Major defect on AST-073,0.43392585492047464,High,Medium,Under_Investigation
DEF-096,AST-041,Traction,Major,2026-08-28,Major defect on AST-041,0.47465962397823414,High,Medium,Open
DEF-097,AST-024,Traction,Major,2026-08-31,Major defect on AST-024,0.42915880153866226,High,Medium,Resolved
DEF-098,AST-019,Engineering,Critical,2026-08-21,Critical defect on AST-019,0.7937467158859453,High,High,Open
DEF-099,AST-038,Engineering,Minor,2026-08-28,Minor defect on AST-038,0.21604430375700587,Low,Medium,Open
DEF-100,AST-050,Engineering,Minor,2026-08-05,Minor defect on AST-050,0.29280348142354046,Low,Medium,Open
DEF-101,AST-107,S&T,Major,2026-08-22,Major defect on AST-107,0.3070056288984558,High,Medium,Resolved
DEF-102,AST-037,Engineering,Cosmetic,2026-08-15,Cosmetic defect on AST-037,0.08440366237673387,Low,Medium,Open
DEF-103,AST-059,Engineering,Cosmetic,2026-08-27,Cosmetic defect on AST-059,0.058726684661282676,Low,Medium,Open
DEF-104,AST-013,Engineering,Minor,2026-08-19,Minor defect on AST-013,0.1880882700624848,Low,Medium,Open
DEF-105,AST-113,Engineering,Minor,2026-08-31,Minor defect on AST-113,0.26613770210401533,Low,Medium,Under_Investigation
DEF-106,AST-024,Traction,Cosmetic,2026-08-29,Cosmetic defect on AST-024,0.08041494965140786,Low,Medium,Repair_Scheduled
DEF-107,AST-104,Traction,Major,2026-08-27,Major defect on AST-104,0.4384336535661938,High,Medium,Open
DEF-108,AST-036,Traction,Cosmetic,2026-08-17,Cosmetic defect on AST-036,0.04181146664921043,Low,Medium,Repair_Scheduled
DEF-109,AST-021,Engineering,Minor,2026-08-06,Minor defect on AST-021,0.2361511785920971,Low,Medium,Resolved
DEF-110,AST-017,Operations,Cosmetic,2026-08-09,Cosmetic defect on AST-017,0.05427379900951562,Low,Medium,Open
DEF-111,AST-102,Traction,Minor,2026-08-13,Minor defect on AST-102,0.2211510606278113,Low,Medium,Under_Investigation
DEF-112,AST-051,S&T,Cosmetic,2026-08-25,Cosmetic defect on AST-051,0.06322660834802393,Low,Medium,Resolved
DEF-113,AST-048,S&T,Cosmetic,2026-08-24,Cosmetic defect on AST-048,0.0368591421125689,Low,Medium,Open
DEF-114,AST-038,Engineering,Major,2026-08-14,Major defect on AST-038,0.5914599127171766,High,Medium,Open
DEF-115,AST-093,Traction,Critical,2026-08-20,Critical defect on AST-093,0.8616145015341024,High,High,Repair_Scheduled
DEF-116,AST-024,Traction,Minor,2026-08-06,Minor defect on AST-024,0.2981092065540267,Low,Medium,Repair_Scheduled
DEF-117,AST-071,Traction,Critical,2026-08-19,Critical defect on AST-071,0.6132485808533493,High,High,Repair_Scheduled
DEF-118,AST-005,S&T,Minor,2026-08-09,Minor defect on AST-005,0.24000685455442086,Low,Medium,Open
DEF-119,AST-046,S&T,Major,2026-08-18,Major defect on AST-046,0.30734953448029567,High,Medium,Repair_Scheduled
DEF-120,AST-045,Engineering,Minor,2026-08-15,Minor defect on AST-045,0.273788850455829,Low,Medium,Under_Investigation
