train_id,train_number,train_type,origin,destination,corridor_id,arrival_time,departure_time,frequency,priority,occupancy,forecasted
TRN-030,34603,Express,Station A,Station B,COR-003,07:57,09:04,Daily,High,45.99146946832154,False
TRN-031,28869,Suburban,Station A,Station B,COR-012,02:51,04:46,Daily,Medium,93.58089601075676,False
TRN-032,62974,Express,Station A,Station B,COR-012,02:54,04:01,Daily,High,69.51451087989204,False
TRN-033,51607,Express,Station A,Station B,COR-008,16:19,18:32,Daily,High,59.884509963989814,False
TRN-034,23405,Goods,Station A,Station B,COR-006,22:19,00:03,Daily,Low,42.351026920675054,False
TRN-035,29882,Passenger,Station A,Station B,COR-009,10:23,12:37,Daily,Medium,85.61606657943773,False
TRN-036,85254,Passenger,Station A,Station B,COR-005,19:03,21:31,Daily,Medium,64.22978178668028,False
TRN-037,18061,Express,Station A,Station B,COR-005,06:24,07:55,Daily,High,57.47495526890018,False
TRN-038,68219,Shatabdi,Station A,Station B,COR-011,17:32,18:09,Daily,Critical,79.53380232468074,False
TRN-039,44821,Rajdhani,Station A,Station B,COR-004,16:24,17:54,Daily,Critical,97.63308896828562,False
TRN-040,55585,Suburban,Station A,Station B,COR-008,22:58,23:16,Daily,Medium,83.83528184116717,False
TRN-041,61042,Goods,Station A,Station B,COR-009,11:56,12:02,Daily,Low,65.51500843680009,True
TRN-042,58991,Express,Station A,Station B,COR-004,17:39,18:07,Daily,High,79.43059031640871,False
TRN-043,63343,Express,Station A,Station B,COR-002,10:33,11:24,Daily,High,79.57731008857681,False
TRN-044,30841,Express,Station A,Station B,COR-004,17:14,18:12,Daily,High,93.21054250607807,False
TRN-045,75768,Shatabdi,Station A,Station B,COR-008,09:00,10:35,Daily,Critical,95.56237354494993,False
TRN-046,77658,Suburban,Station A,Station B,COR-011,23:04,01:45,Daily,Medium,74.70220138131312,False
TRN-047,77665,Rajdhani,Station A,Station B,COR-007,06:31,08:27,Daily,Critical,41.54109251828261,False
TRN-048,89569,Rajdhani,Station A,Station B,COR-005,22:40,23:30,Daily,Critical,83.65012033750102,False
TRN-049,99490,Suburban,Station A,Station B,COR-003,12:14,13:51,Daily,Medium,76.2678576469784,False
TRN-050,10968,Passenger,Station A,Station B,COR-009,19:28,21:18,Daily,Medium,77.54245273819532,False
TRN-051,66784,Express,Station A,Station B,COR-004,23:05,00:19,Daily,High,80.65063205447419,False
TRN-052,27879,Passenger,Station A,Station B,COR-011,17:16,19:45,Daily,Medium,78.82288548320307,False
TRN-053,31690,Suburban,Station A,Station B,COR-006,19:02,21:17,Daily,Medium,40.830858130382914,False
TRN-054,83008,Passenger,Station A,Station B,COR-010,02:56,03:36,Daily,Medium,98.99929585823415,False
TRN-055,52717,Express,Station A,Station B,COR-004,18:06,20:33,Daily,High,90.89420065524817,False
